Event,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Date,Event Start Time,Event End Time,Venue,Notes
AMCC Meeting,amcc-meeting,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,69850a9af6b33fefdfd977bf,false,false,Thu Feb 05 2026 21:24:42 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),"Saturday, September 19",11:00 AM,12:00 PM,Eagle's Nest - 3rd Floor,
Donuts and Bagels with a Cop,donuts-and-bagels-with-a-cop,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,69cb119ea708185807641969,false,false,Tue Mar 31 2026 00:13:18 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:13:20 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:30:55 GMT+0000 (Coordinated Universal Time),"Saturday, September 19",10:00 AM,11:00 AM,Eagle Outdoor Pavillion Area,
Early Welcome,early-welcome,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,69850941f357afe376a11b57,false,false,Thu Feb 05 2026 21:18:57 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),"Thursday, September 17",9:00 PM,Close,Providence Eagle,
Hotel Check-in and Package Pickup,hotel-check-in-and-package-pickup,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,698509763da8b51927d597a1,false,false,Thu Feb 05 2026 21:19:50 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),"Friday, September 18",3:00 PM,10:00 PM,Hotel Providence,
Kink Demonstrations,kink-demonstrations,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,69850b1f7cc309ae2c04f788,false,false,Thu Feb 05 2026 21:26:55 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),"Saturday, September 19",3:00 PM,5:00 PM,Eagle's Nest,
Leather and Uniform Street Fair,street-fair-and-cigar-social,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,69850b0481ebb7f2d6f6fa32,false,false,Thu Feb 05 2026 21:26:28 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:20:09 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:30:55 GMT+0000 (Coordinated Universal Time),"Saturday, September 19",2:00 PM,5:00 PM,Snow Street by Eagle Outdoor Pavillion in front of Providence Eagle,<p>o&nbsp;&nbsp;Music provided by MAUL’s DJ Tony Ruiz</p><p>o&nbsp;&nbsp;Cigar Social</p><p>o&nbsp;&nbsp;Eagle Bar open for drinks</p>
MAUL 20th Anniversary Dinner,maul-20th-anniversary-dinner,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,69850b47d5618d968e2fcc83,false,false,Thu Feb 05 2026 21:27:35 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 21:46:10 GMT+0000 (Coordinated Universal Time),"Saturday, September 19",5:00 PM,7:00 PM,Providence Hotel Ballroom,
MAUL Badging Ceremony,badging-ceremony,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,69850a78bf88c5250591cc70,false,false,Thu Feb 05 2026 21:24:08 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:14:46 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:30:55 GMT+0000 (Coordinated Universal Time),,2:00 PM,,Eagle Outdoor Pavillion,
MAUL Leather & Uniform Welcome Reception ,maul-welcome-reception,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,698509ab4dfa7c50dcc37d64,false,false,Thu Feb 05 2026 21:20:43 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:11:07 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:30:55 GMT+0000 (Coordinated Universal Time),"Friday, September 18",6:30 PM,8:30 PM,Providence Hotel Ballroom,"<p>o	Heavy hors d'oeuvres and drinks</p><p>o	Leather, uniform, and fetish gear</p><p>o	Highlight the Mr. Providence Eagle contestants</p>"
Mr. Providence Eagle Contest,mr-providence-eagle-contest,69850801b974f7bfb8191b64,66cf597ace492155ca391a8e,69850b9ba137b2aab74a37f8,false,false,Thu Feb 05 2026 21:28:59 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:17:01 GMT+0000 (Coordinated Universal Time),Tue Mar 31 2026 00:30:55 GMT+0000 (Coordinated Universal Time),"Saturday, September 19",7:30 PM,,Providence Eagle,<p>*Eagle’s Nest – after hours clubnext to the Providence Eagle open 24/7 for late night activities</p>
