Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Website Link,"Location (City, State)",Logo
Bay State Marauders,bay-state-marauders,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,66cf59b68cc7f1f37173d771,false,false,Wed Aug 28 2024 17:09:10 GMT+0000 (Coordinated Universal Time),Wed Aug 28 2024 17:09:10 GMT+0000 (Coordinated Universal Time),Wed Aug 28 2024 17:41:20 GMT+0000 (Coordinated Universal Time),https://www.baystatemarauders.org,"Brighton, MA",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/66cf59b349b2f292a159aa49_BSM%20colors%20FINAL%20black%20with%20no%20border%2010x10inch_200dpi.png.webp
Bucks MC,bucks-mc,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,66cf5cffd490d3904d815390,false,false,Wed Aug 28 2024 17:23:11 GMT+0000 (Coordinated Universal Time),Wed Aug 28 2024 17:24:19 GMT+0000 (Coordinated Universal Time),Wed Aug 28 2024 17:41:20 GMT+0000 (Coordinated Universal Time),https://bucksmc.org,"Langhorne, PA",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/66cf5d4149b2f292a15d0893_buckstitlecard-e1634345907956.png
C.O.M.M.A.N.D. MC,command-mc,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,67579285fab2e937726665da,false,false,Tue Dec 10 2024 00:59:49 GMT+0000 (Coordinated Universal Time),Tue Dec 10 2024 00:59:49 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:14:54 GMT+0000 (Coordinated Universal Time),http://www.commandmc.org/,"Baltimore, MD",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/6757928207afa6e5502f635f_COMMAND-Logo-Facebook.jpg
Centaur MC,centaur-mc,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,675791d71e0e00c8b0b7d117,false,false,Tue Dec 10 2024 00:56:55 GMT+0000 (Coordinated Universal Time),Tue Dec 10 2024 00:56:55 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:14:54 GMT+0000 (Coordinated Universal Time),http://www.centaurmc.org/,"Washington, DC",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/675791d392b944524b80d4ed_info_centaur-lg.jpg
DC Bear Club,dc-bear-club,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,675792c2a93fe3139fd0f462,false,false,Tue Dec 10 2024 01:00:50 GMT+0000 (Coordinated Universal Time),Tue Dec 10 2024 01:00:50 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:14:54 GMT+0000 (Coordinated Universal Time),http://www.facebook.com/pages/District-of-Columbia-Bear-Club/249746924145,"Alexandria, VA",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/675792b87217206b96ea9e35_294215169_361762942776468_3484732196393646450_n.jpg
Empire City MC,empire-city-mc,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,675792e61240692aaf9f20d9,false,false,Tue Dec 10 2024 01:01:26 GMT+0000 (Coordinated Universal Time),Tue Dec 10 2024 01:01:26 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:14:54 GMT+0000 (Coordinated Universal Time),http://www.empirecitymc.com,"New York, NY",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/675792e4bb324fdb6e581828_ECMC%20HD%20Logo%20by%20Chaz.jpg
Excelsior MC,excelsior-mc,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,6759d88b513b33985616435d,false,false,Wed Dec 11 2024 18:23:07 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:23:07 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:35:01 GMT+0000 (Coordinated Universal Time),https://www.excelsiormc.com,"New York City, NY",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/6759d88a471aa71c667ad9dd_Excelsior-Patch-trans-thickwhiteoutline-.png
Harbor Masters of Maine,harbor-masters-of-maine,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,6759d8db4ddc67eb97ac810f,false,false,Wed Dec 11 2024 18:24:27 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:24:27 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:35:01 GMT+0000 (Coordinated Universal Time),http://www.harbormastersofmaine.com,"Portland, ME",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/6759d8d830a0df939f41adc7_harbormastersbwbackpatch.jpg
Knight Hawks of Virginia,knight-hawks-of-virginia,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,6759d90b83e76bcd860095ee,false,false,Wed Dec 11 2024 18:25:15 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:25:15 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:35:01 GMT+0000 (Coordinated Universal Time),http://www.knighthawksofva.com,"Norfolk, VA",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/6759d909433a2a44a9a13671_f5c6a5c6d1a22d1ac660384491edb9d7.png
Long Island Ravens MC,long-island-ravens-mc,66cf597b75dfab24cff9dba6,66cf597ace492155ca391a8e,6759d92ff022bd989e24fdc4,false,false,Wed Dec 11 2024 18:25:51 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:25:51 GMT+0000 (Coordinated Universal Time),Wed Dec 11 2024 18:35:01 GMT+0000 (Coordinated Universal Time),http://www.liravensmc.org,"Bohemia, NY",https://cdn.prod.website-files.com/66cf597ace492155ca391a93/6759d92d83e76bcd8600bdec_liravens.gif
